noIter	Time[s]	UxResInit	UyResInit	UzResInit	pResInit	kResInit	epsilonResInit	omegaResInit	TResInit
1	1.000000	0.000000	66279.227714	0.133226	0.000910	1.000000	1.000000	1.000000	0.000000
2	2.000000	0.002882	0.017222	0.068398	0.000049	1.000000	1.000000	1.000000	0.000000
3	3.000000	0.055613	0.474004	0.016681	0.000893	1.000000	1.000000	1.000000	0.000000
4	4.000000	0.002595	0.014511	0.018451	0.000012	1.000000	1.000000	1.000000	0.000000
5	5.000000	0.029754	0.043776	0.040760	0.000122	1.000000	1.000000	1.000000	0.000000
6	6.000000	0.004300	0.015010	0.018685	0.000106	1.000000	1.000000	1.000000	0.000000
7	7.000000	0.006540	0.012649	0.015750	0.000066	1.000000	1.000000	1.000000	0.000000
8	8.000000	0.005384	0.010668	0.014041	0.000049	1.000000	1.000000	1.000000	0.000000
9	9.000000	0.006366	0.010179	0.011829	0.000039	1.000000	1.000000	1.000000	0.000000
10	10.000000	0.006067	0.009738	0.011467	0.000031	1.000000	1.000000	1.000000	0.000000
11	11.000000	0.005702	0.008780	0.008047	0.000027	1.000000	1.000000	1.000000	0.000000
12	12.000000	0.005284	0.008096	0.007040	0.000024	1.000000	1.000000	1.000000	0.000000
13	13.000000	0.004996	0.007629	0.006354	0.000022	1.000000	1.000000	1.000000	0.000000
14	14.000000	0.004887	0.007418	0.005809	0.000019	1.000000	1.000000	1.000000	0.000000
15	15.000000	0.004661	0.007156	0.005444	0.000014	1.000000	1.000000	1.000000	0.000000
16	16.000000	0.004553	0.007105	0.005279	0.000012	1.000000	1.000000	1.000000	0.000000
17	17.000000	0.004580	0.007231	0.005218	0.000016	1.000000	1.000000	1.000000	0.000000
18	18.000000	0.004735	0.007517	0.005244	0.000024	1.000000	1.000000	1.000000	0.000000
19	19.000000	0.005049	0.008027	0.005410	0.000034	1.000000	1.000000	1.000000	0.000000
20	20.000000	0.005384	0.008642	0.005626	0.000045	1.000000	1.000000	1.000000	0.000000
21	21.000000	0.005799	0.009338	0.005786	0.000056	1.000000	1.000000	1.000000	0.000000
22	22.000000	0.006266	0.010064	0.005999	0.000061	1.000000	1.000000	1.000000	0.000000
23	23.000000	0.006853	0.011081	0.006327	0.000066	1.000000	1.000000	1.000000	0.000000
24	24.000000	0.007360	0.011709	0.006381	0.000070	1.000000	1.000000	1.000000	0.000000
25	25.000000	0.007992	0.012809	0.006737	0.000074	1.000000	1.000000	1.000000	0.000000
26	26.000000	0.008662	0.013736	0.007192	0.000080	1.000000	1.000000	1.000000	0.000000
27	27.000000	0.008630	0.013591	0.007178	0.000084	1.000000	1.000000	1.000000	0.000000
28	28.000000	0.008412	0.013432	0.007050	0.000075	1.000000	1.000000	1.000000	0.000000
29	29.000000	0.008291	0.013067	0.006941	0.000066	1.000000	1.000000	1.000000	0.000000
30	30.000000	0.008265	0.012741	0.006901	0.000059	1.000000	1.000000	1.000000	0.000000
31	31.000000	0.008282	0.012634	0.006878	0.000054	1.000000	1.000000	1.000000	0.000000
32	32.000000	0.008298	0.012520	0.006827	0.000050	1.000000	1.000000	1.000000	0.000000
33	33.000000	0.008170	0.012258	0.006930	0.000046	1.000000	1.000000	1.000000	0.000000
34	34.000000	0.008095	0.012052	0.007097	0.000042	1.000000	1.000000	1.000000	0.000000
35	35.000000	0.008064	0.011970	0.007083	0.000039	1.000000	1.000000	1.000000	0.000000
36	36.000000	0.008099	0.011883	0.007120	0.000037	1.000000	1.000000	1.000000	0.000000
37	37.000000	0.008442	0.011683	0.007150	0.000037	1.000000	1.000000	1.000000	0.000000
38	38.000000	0.008340	0.011106	0.007278	0.000034	1.000000	1.000000	1.000000	0.000000
39	39.000000	0.008189	0.011001	0.007486	0.000034	1.000000	1.000000	1.000000	0.000000
40	40.000000	0.008467	0.010699	0.007732	0.000034	1.000000	1.000000	1.000000	0.000000
